id,name,location,brand,developer,status,opening_year,area_wan_sqm,floors,province,city,city_level,climate_zone,created_at,updated_at,geocode_query,longitude,latitude,geocode_score,geocode_address,geocode_status,geocode_error,geocode_provider,geocode_repaired
847,上海国家会展中心商业广场,上海市青浦区崧泽大道333号,,国家会展中心（上海）有限责任公司,已开业,2017,15.0,6,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市青浦区崧泽大道333号,121.183298663911,31.176787703442,90,上海市青浦区重固镇崧泽大道,ok,,arcgis_world_geocoding,0
889,松江印象城二期,上海市松江区广富林路/松江人民北路,印力地产,万科企业股份有限公司,在建,2027,15.0,,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市松江区广富林路/松江人民北路,121.217422085337,31.083000225436,91.25,上海市松江区松江人民北路,ok,,arcgis_world_geocoding,0
910,上海宝山宝杨宝龙广场,上海市宝山区宝杨路/同济路,宝龙,宝龙地产控股有限公司,已开业,2020,14.8,3,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市宝山区宝杨路/同济路,121.480687295444,31.388471169892,91.25,上海市宝山区吴淞街道同济路,ok,,arcgis_world_geocoding,0
922,上海颛桥万达广场,万达广场(颛桥店)，上海市上海市闵行区都市路2700号,万达,珠海万达商业管理集团股份有限公司,已开业,2018,14.63,4,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,万达广场(颛桥店)，上海市上海市闵行区都市路2700号,121.401411715969,31.073048747004,72.96,万达广场,ok,,arcgis_world_geocoding,0
947,上海虹桥前湾印象城,上海市闵行区联友路/雅乐路,印力地产,印力商用置业有限公司,已开业,2025,14.3,,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市闵行区联友路/雅乐路,121.284225333146,31.222425779108,91.25,上海市闵行区雅乐路,ok,,arcgis_world_geocoding,0
987,上海日月光中心,上海市黄浦区徐家汇路618号,,上海鼎固置业有限公司,已开业,2011,14.0,5,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市黄浦区徐家汇路618号,121.464970624757,31.20954381824,100,上海市黄浦区打浦桥街道徐家汇路618号,ok,,arcgis_world_geocoding,0
989,上海陆家嘴中心L+Mall,上海市浦东新区浦东南路889号,,上海陆家嘴（集团）有限公司,已开业,2019,14.0,11,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市浦东新区浦东南路889号,121.510287448464,31.233744649115,100,上海市浦东新区陆家嘴街道浦东南路889号,ok,,arcgis_world_geocoding,0
991,上海五角场合生汇,上海市杨浦区翔殷路1099号,合生,合生创展集团,已开业,2016,14.0,6,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市杨浦区翔殷路1099号,121.513077300746,31.301826812002,100,上海市杨浦区翔殷路1099号,ok,,arcgis_world_geocoding,0
992,上海青浦合生新天地,上海市青浦区嘉松中路5999弄,合生,合生创展集团,已开业,2013,14.0,3,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市青浦区嘉松中路5999弄,121.224575043295,31.153609450512,99.33,上海市青浦区赵巷镇嘉松中路5999号,ok,,arcgis_world_geocoding,0
994,上海世纪汇广场,上海市浦东新区世纪大道1192号,,亚腾投资（上海）有限公司,已开业,2019,14.0,5,上海市,上海市,1,夏热冬冷A区,2026-06-11 05:49:09,2026-06-11 05:49:09,上海市浦东新区世纪大道1192号,121.522789831051,31.229546391978,100,上海市浦东新区潍坊新村街道世纪大道1192号,ok,,arcgis_world_geocoding,0
