mall_id,name,confidence_level,center_lon,center_lat,center_source,reviewer,reason,final_polygon_geojson,review_round,reviewed_at,selected_provider,selected_poi_name,official_coord_evidence
1752,金华浦江海乐城,A,119.9089334,29.43858666,official_poi_auto,,,,,,tencent,金华浦江海乐城极充站,multi_provider_agree
1760,湖州德清银泰城,A,119.96495695,30.51835717,official_poi_auto,,,,,,tencent,湖州德清银泰城,multi_provider_agree
1788,龙湖宁波鄞州天街,A,121.58697112,29.88262222,official_poi_auto,,,,,,amap,龙湖宁波鄞州天街,multi_provider_agree
1801,丽水银泰城,A,119.92164979,28.44127085,official_poi_auto,,,,,,amap,丽水银泰城,multi_provider_agree
1809,宁波复悦城,A,121.53224345,29.86818077,official_poi_auto,,,,,,amap,宁波复悦城,multi_provider_agree
1820,杭州星光荟,A,120.07157567,30.16126165,official_poi_auto,,,,,,tencent,长江影城(杭州星光荟LUXE店),multi_provider_agree
1826,杭州临安宝龙广场,A,119.72076565,30.25268763,official_poi_auto,,,,,,tencent,杭州临安宝龙广场,multi_provider_agree
1830,杭州富阳首创奥特莱斯,A,120.02436096,30.08058642,official_poi_auto,,,,,,tencent,杭州富阳首创奥特莱斯,multi_provider_agree
1837,杭州下沙宝龙广场,A,120.3805532,30.31411012,official_poi_auto,,,,,,tencent,杭州下沙宝龙广场,multi_provider_agree
1889,龙湖杭州江东天街,A,120.49155667,30.31305747,official_poi_auto,,,,,,tencent,龙湖杭州江东天街,multi_provider_agree
2018,杭州萧山万象汇,A,120.26459325,30.18441949,official_poi_auto,,,,,,amap,杭州萧山万象汇,multi_provider_agree
2020,宁波奉化万达广场,A,121.41827372,29.66747736,official_poi_auto,,,,,,tencent,宁波奉化万达广场,multi_provider_agree
2043,宁波镇海开元广场,A,121.61969935,29.9263863,official_poi_auto,,,,,,amap,宁波镇海开元广场,multi_provider_agree
2097,杭州恒隆广场,A,120.1607664,30.27061372,official_poi_auto,,,,,,amap,杭州恒隆广场,multi_provider_agree
2123,宁波怡丰汇,A,121.52311382,29.91723564,official_poi_auto,,,,,,amap,宁波怡丰汇,multi_provider_agree
2147,绍兴诸暨逸乐城,A,120.24177636,29.67357664,official_poi_auto,,,,,,amap,诸暨逸乐城文化广场,multi_provider_agree
