mall_id,name,province,city,confidence_level,center_lon,center_lat,center_source,reviewer,reason,final_polygon_geojson,review_round,reviewed_at,selected_provider,selected_poi_name,official_coord_evidence
8172,上海三新汇开元里,上海市,上海市,A,121.19012935,31.00581004,official_poi_auto,,,,,,amap,三新汇开元里,multi_provider_agree
8173,上海中企云翠森林万象商业,上海市,上海市,A,121.48063425,31.1425564,manual_review,admin,,,1,2026-07-13 08:05:18,amap,中企云萃森林营销中心,weak_or_disputed
8174,上海中免海港城,上海市,上海市,A,121.43260136,31.19650732,manual_review,admin,,,1,2026-07-13 08:05:39,amap,上海港汇恒隆广场,weak_or_disputed
8175,上海中建临港邻聚街,上海市,上海市,A,121.62401265,31.18078352,manual_review,admin,,,1,2026-07-13 08:07:22,amap,中建·邻聚街,multi_provider_agree
8176,上海中建乐荟天地,上海市,上海市,A,121.50379791,31.18780204,official_poi_auto,,,,,,tencent,大鼓米线(浦东中建乐荟天地DM),multi_provider_agree
8177,上海中建孚泉生活广场,上海市,上海市,A,121.18580827,31.196714,official_poi_auto,,,,,,tencent,中建孚泉生活广场,multi_provider_agree
8178,上海中建张江邻聚街,上海市,上海市,A,121.62376895,31.18048296,manual_review,admin,,,1,2026-07-13 08:07:31,amap,中建·邻聚街,multi_provider_agree
8179,上海中核·和悦荟,上海市,上海市,A,121.27797645,31.1808881,official_poi_auto,,,,,,tencent,中核和悦荟,multi_provider_agree
8180,上海丰盛里·静安寺广场,上海市,上海市,A,121.44123267,31.22481191,official_poi_auto,,,,,,tencent,丰盛里·静安寺广场,multi_provider_agree
8181,上海云璟万象天地,上海市,上海市,A,121.60974493,31.24145931,official_poi_auto,,,,,,amap,上海云璟万象天地,multi_provider_agree
8182,上海亚新生活广场,上海市,上海市,A,121.43283307,31.24110662,official_poi_auto,,,,,,amap,亚新生活广场,multi_provider_agree
8183,上海今潮8弄,上海市,上海市,A,121.47932942,31.25294967,official_poi_auto,,,,,,amap,今潮8弄,multi_provider_agree
8184,上海传媒港花园里一期,上海市,上海市,A,121.45548119,31.1624097,manual_review,admin,,,2,2026-07-16 01:48:46,amap,传媒港花园里,single_provider_strong
8185,上海传媒港花园里二期,上海市,上海市,A,121.45543506,31.1623961,official_poi_auto,,,,,,tencent,传媒港花园里,multi_provider_agree
8186,上海佘山·旭辉里,上海市,上海市,A,121.20935933,31.1179965,official_poi_auto,,,,,,amap,佘山·旭辉里,multi_provider_agree
8187,上海佘山宝乐汇,上海市,上海市,A,121.22622725,31.10658425,manual_review,admin,,,1,2026-07-13 08:08:12,tencent,上海宝乐汇·佘山商业广场,multi_provider_agree
8188,上海侨福芳草地,上海市,上海市,A,121.49795864,31.34542548,manual_review,admin,,,2,2026-07-16 01:48:52,,,none
8189,上海凉城商业广场,上海市,上海市,A,121.47010542,31.29702792,manual_review,admin,,,1,2026-07-13 08:10:02,tencent,东明生活广场(凉城购物中心店),weak_or_disputed
8190,上海北上海生活广场,上海市,上海市,A,121.42870282,31.3682507,official_poi_auto,,,,,,tencent,北上海生活广场,multi_provider_agree
8191,上海华狮广场,上海市,上海市,A,121.46087639,31.22163212,official_poi_auto,,,,,,tencent,华狮广场,multi_provider_agree
8192,上海古美生活购物广场,上海市,上海市,A,121.38097549,31.1452058,official_poi_auto,,,,,,amap,古美生活购物广场,multi_provider_agree
8193,上海合川利邻荟,上海市,上海市,A,121.37758236,31.17502659,manual_review,admin,,,1,2026-07-13 08:10:23,tencent,利邻荟,multi_provider_agree
8194,上海吉乐买生活广场,上海市,上海市,A,121.5362086,31.04520426,official_poi_auto,,,,,,tencent,吉乐买生活广场,multi_provider_agree
8195,上海名悦商业广场,上海市,上海市,A,121.32374504,30.9005598,official_poi_auto,,,,,,amap,名悦商业广场,multi_provider_agree
8196,上海唐镇印象汇,上海市,上海市,A,121.66547523,31.22985743,official_poi_auto,,,,,,amap,浦发唐镇印象汇,multi_provider_agree
8197,上海嘉宏印象荟,上海市,上海市,A,121.47865852,31.26006615,official_poi_auto,,,,,,tencent,嘉宏·印象荟,multi_provider_agree
8198,上海嘉里合集The Lightbox,上海市,上海市,A,121.45225993,31.24708952,official_poi_auto,,,,,,amap,嘉里合集The Lightbox,multi_provider_agree
8199,上海国金中心IFC,上海市,上海市,A,121.49790268,31.2381882,manual_review,admin,,,2,2026-07-16 01:49:00,amap,上海ifc商场,multi_provider_agree
8200,上海圆心汇生活广场,上海市,上海市,A,121.47840386,30.91717087,official_poi_auto,,,,,,amap,圆心汇生活广场,multi_provider_agree
8201,上海塞纳左岸,上海市,上海市,A,121.21192074,31.03486288,official_poi_auto,,,,,,tencent,塞纳左岸,multi_provider_agree
8202,上海复兴荟,上海市,上海市,A,121.47942749,31.21974997,manual_review,admin,,,2,2026-07-16 01:49:27,tencent,复兴荟,single_provider_strong
8203,上海大零号湾·梦享家商业中心,上海市,上海市,A,121.41494846,31.01698302,manual_review,admin,,,2,2026-07-16 01:50:33,amap,大零号湾梦享家商业中心,single_provider_strong
8204,上海天歌商都,上海市,上海市,A,121.46763591,31.1979765,manual_review,admin,,,2,2026-07-16 01:50:44,amap,天歌大地大厦,multi_provider_agree
8205,上海奉发古华庭,上海市,上海市,A,121.45710829,30.91870954,official_poi_auto,,,,,,tencent,奉发·古华庭,multi_provider_agree
8206,上海妇女用品商店,上海市,上海市,A,121.46594416,31.22328062,official_poi_auto,,,,,,tencent,LADY淮海(上海妇女用品商店),multi_provider_agree
8207,上海宏慧新里,上海市,上海市,A,121.47088121,31.26512478,official_poi_auto,,,,,,amap,宏慧·新里,multi_provider_agree
8208,上海宝钢商场,上海市,上海市,A,121.47725275,31.40662645,official_poi_auto,,,,,,tencent,宝钢商场-东南门,multi_provider_agree
8209,上海富绅时代广场,上海市,上海市,A,121.09256417,31.16285382,official_poi_auto,,,,,,tencent,富绅时代广场,multi_provider_agree
8210,上海岳阳大橘邻里,上海市,上海市,A,121.23661523,31.02020788,official_poi_auto,,,,,,tencent,松江岳阳大橘邻里,multi_provider_agree
8211,上海巴黎春天·悦汇天山,上海市,上海市,A,121.39724742,31.21360805,official_poi_auto,,,,,,tencent,巴黎春天·悦汇天山,multi_provider_agree
8212,上海平溪商业广场,上海市,上海市,A,121.47973798,31.30473706,official_poi_auto,,,,,,tencent,平溪商业广场,multi_provider_agree
8213,上海弄海潮购物中心,上海市,上海市,A,121.36956553,31.17448467,manual_review,admin,,,1,2026-07-13 08:28:38,amap,弄海潮招商中心,single_provider_strong
8214,上海新团星商业中心,上海市,上海市,A,121.6252956,31.31991718,manual_review,admin,,,2,2026-07-16 01:50:58,tencent,月亮湾商业中心,weak_or_disputed
8215,上海新岸商业中心,上海市,上海市,A,121.51731545,31.24549302,official_poi_auto,,,,,,tencent,新岸商业中心,multi_provider_agree
8216,上海时装商店,上海市,上海市,A,121.47301307,31.23754544,official_poi_auto,,,,,,amap,上海时装商店,multi_provider_agree
8217,上海星扬西岸Lumina,上海市,上海市,A,121.45666948,31.16353495,manual_review,admin,,,1,2026-07-13 08:30:52,amap,LUMINA星扬西岸中心,multi_provider_agree
8218,上海星邻·生活荟,上海市,上海市,A,121.38964492,31.26211086,official_poi_auto,,,,,,tencent,星邻生活荟,multi_provider_agree
8219,上海曹杨商城,上海市,上海市,A,121.40059972,31.24071171,official_poi_auto,,,,,,tencent,曹杨商城,multi_provider_agree
8220,上海杨浦滨江超极合生汇,上海市,上海市,A,121.51358907,31.30182933,manual_review,admin,,,1,2026-07-13 08:31:42,amap,合生汇,multi_provider_agree
8221,上海永乐汇,上海市,上海市,A,121.55633608,31.12237484,official_poi_auto,,,,,,amap,永乐汇亲子购物运动中心,multi_provider_agree
8222,上海江南里花园广场,上海市,上海市,A,121.35212382,31.25708959,official_poi_auto,,,,,,tencent,江南里花园广场,multi_provider_agree
8223,上海江湾里 MEET678,上海市,上海市,A,121.50445752,31.31754662,official_poi_auto,,,,,,amap,江湾里MEET678,multi_provider_agree
8224,上海浦乐汇(成山店),上海市,上海市,A,121.50274156,31.17405439,official_poi_auto,,,,,,amap,浦乐汇(成山店),multi_provider_agree
8225,上海浦发三林印象汇,上海市,上海市,A,121.49347203,31.12398285,official_poi_auto,,,,,,tencent,浦发三林印象汇,multi_provider_agree
8226,上海海上世界,上海市,上海市,A,121.49790665,31.4070009,official_poi_auto,,,,,,amap,海上世界,multi_provider_agree
8227,上海海港中心万象商业,上海市,上海市,A,121.47402795,31.24445814,manual_review,admin,,,2,2026-07-16 01:51:05,amap,上海苏河湾万象天地,weak_or_disputed
8228,上海漫游城,上海市,上海市,A,121.39275234,31.13302689,official_poi_auto,,,,,,tencent,中庚·漫游城,multi_provider_agree
8229,上海玖博广场,上海市,上海市,A,121.43788065,31.22572962,official_poi_auto,,,,,,tencent,玖博广场,multi_provider_agree
8230,上海盈丰天地,上海市,上海市,A,121.55765782,31.20693864,official_poi_auto,,,,,,tencent,盈丰天地,multi_provider_agree
8231,上海盘古盛汇,上海市,上海市,A,121.43130494,31.39281237,official_poi_auto,,,,,,tencent,盘古盛汇,multi_provider_agree
8232,上海盛邻MALL,上海市,上海市,A,121.46476664,31.31819208,official_poi_auto,,,,,,tencent,盛邻MALL,multi_provider_agree
8233,上海碧云氧环,上海市,上海市,A,121.57872331,31.24122679,manual_review,admin,,,2,2026-07-16 01:51:42,amap,碧云,weak_or_disputed
8234,上海第一百货商业中心,上海市,上海市,A,121.47032526,31.23732387,official_poi_auto,,,,,,amap,第一百货商业中心,multi_provider_agree
8235,上海紫竹地铁广场,上海市,上海市,A,121.55705894,31.21320428,manual_review,admin,,,1,2026-07-13 08:34:17,tencent,博览汇广场,multi_provider_agree
8236,上海红点合生新天地,上海市,上海市,A,121.35756359,31.13596015,official_poi_auto,,,,,,tencent,上海红点合生新天地,multi_provider_agree
8237,上海红象汇,上海市,上海市,A,121.37577134,31.139825,official_poi_auto,,,,,,tencent,红象汇,multi_provider_agree
8238,上海绿洲智谷花园里北区,上海市,上海市,A,121.21961278,31.16689827,official_poi_auto,,,,,,amap,绿洲智谷花园里(北区),multi_provider_agree
8239,上海绿洲智谷花园里南区,上海市,上海市,A,121.21969378,31.16681766,manual_review,admin,,,1,2026-07-13 08:35:10,amap,绿洲智谷花园里南区,single_provider_strong
8240,上海绿茵商业广场,上海市,上海市,A,121.31283751,31.2878674,manual_review,admin,,,1,2026-07-13 08:36:18,tencent,绿茵商业广场,single_provider_strong
8241,上海苏航生活广场,上海市,上海市,A,121.5918,31.03726208,official_poi_auto,,,,,,tencent,上海苏航生活广场,multi_provider_agree
8242,上海莘潮国际家居(嘉定店),上海市,上海市,A,121.25561428,31.35503582,official_poi_auto,,,,,,tencent,莘潮国际家居(嘉定店),multi_provider_agree
8243,上海葫芦斗亲子文创中心,上海市,上海市,A,121.48871122,31.34095473,official_poi_auto,,,,,,tencent,LELECHA乐乐茶(葫芦斗亲子文创中心店),multi_provider_agree
8244,上海蓝鲸世界,上海市,上海市,A,121.89216062,30.8982592,official_poi_auto,,,,,,tencent,龙光蓝鲸世界购物中心,multi_provider_agree
8245,上海西岸环宇城MAX,上海市,上海市,A,121.40510241,31.25182749,manual_review,admin,,,2,2026-07-16 01:51:54,tencent,上海真如环宇城MAX,multi_provider_agree
8246,上海赵巷汇金里,上海市,上海市,A,121.15057366,31.16115852,manual_review,admin,,,2,2026-07-16 01:52:04,tencent,汇金里,multi_provider_agree
8247,上海轧花记忆园,上海市,上海市,A,121.34606288,31.41002979,official_poi_auto,,,,,,tencent,轧花记忆园-南门,multi_provider_agree
8248,上海连城商业广场,上海市,上海市,A,121.42672993,30.99111325,official_poi_auto,,,,,,tencent,连城商业广场,multi_provider_agree
8249,上海迪美购物中心,上海市,上海市,A,121.46900557,31.23022305,official_poi_auto,,,,,,tencent,上海迪美购物中心,multi_provider_agree
