mall_id,name,province,city,confidence_level,identity_status,selected_poi_name,selected_address,selected_poi_type,selected_lon_wgs84,selected_lat_wgs84,official_coord_evidence,identity_reasons,suspicious_reason
5927,徐州万科尚都会2049,江苏省,徐州市,C,manual_review,万科尚都会2049商业综合体,城东快速路与东三环快速路交叉口东南角(一号线铜山路站),购物服务;商场;商场,117.22202621,34.26326066,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5948,宁波银亿海德商业中心,浙江省,宁波市,C,manual_review,新海德广场,洪塘街道洪塘中路258号,购物服务;商场;购物中心,121.50447801,29.94349443,multi_provider_agree,name_match_weak|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5958,苏州乐尚城市广场,江苏省,苏州市,C,manual_review,乐尚城市广场,花桥镇绿地大道269号,购物服务;商场;购物中心,121.12085271,31.28692103,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5970,上海松江乐都商业广场,上海市,上海市,C,manual_review,乐都·旭辉里,乐都路481弄1-4号,购物服务;商场;普通商场,121.21315759,31.01482278,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5984,无锡江阴凤凰荟,江苏省,无锡市,C,manual_review,百酒荟商贸,江苏省无锡市锡山区锡沪路华仁凤凰郡,购物:烟酒专卖,120.41734803,31.59512211,weak_or_disputed,name_match_weak|weak_or_disputed|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5987,杭州临平星桥七彩星,浙江省,杭州市,C,manual_review,七彩星商业中心,星桥南路与天都路交叉口东南侧,购物服务;商场;普通商场,120.25785068,30.39024076,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5989,衢州常山德信杉杉天地,浙江省,衢州市,C,manual_review,常山杉杉天地,紫港街道杉杉天地2幢3层3004-3013、3037号,购物服务;商场;购物中心,118.53139321,28.90085061,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
5997,上海航头金航城,上海市,上海市,C,manual_review,金航城,鹤雷路与鹤恒路,购物服务;商场;商场,121.59479652,31.07959321,multi_provider_agree,name_match_weak|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6000,金华浦江人民广场商厦,浙江省,金华市,C,manual_review,浦江人民广场,浦阳街道和平北路77号,购物服务;商场;购物中心,119.88553176,29.46126885,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6018,苏州索山广场新悦汇,江苏省,苏州市,C,manual_review,索山广场新悦汇,高新区索山公园(狮子山地铁站出入口步行160米),购物服务;商场;购物中心,120.5462274,31.29377593,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6025,徐州睢宁曼哈顿商业广场,江苏省,徐州市,C,manual_review,曼哈顿商业广场,元府东路17号,购物服务;商场;普通商场,117.95080157,33.90085044,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
6044,无锡高铁新城五洲国际广场,江苏省,无锡市,C,manual_review,五洲国际广场(高铁新城),羊尖镇锡沪路羊尖西段131号,购物服务;商场;普通商场,120.54715775,31.62300809,multi_provider_agree,name_match_medium|multi_provider_agree|not_available,review_required=1; confidence_level=C; review_status=needs_manual_review
